Dance,Best dancer ( s ),Best score,Worst dancer ( s ),Worst score
Foxtrot,Johnny Ruffo,29,Shannon Noll,15
Cha Cha Cha,Danielle Spencer,30,Vogue Williams,14
Jive,Danielle Spencer,28,Jessica Watson,8
Quickstep,Zoe Cramond,30,Brian Mannix,19
Rumba,Zoe Cramond,30,Brendan Fevola,14
Samba,Danielle Spencer Johnny Ruffo Zoe Cramond,27,Brian Mannix,13
Waltz,Kerri-Anne Kennerley,22,Jessica Watson,21
Paso Doble,Zoe Cramond Danielle Spencer,28,Brian Mannix Vogue Williams,16
Viennese Waltz,Zoe Cramond,27,Jessica Watson,18
Tango,Zoe Cramond,29,Caine Eckstein Brendan Fevola,20
Argentine Tango,Danielle Spencer Brendan Fevola,27,Johnny Ruffo,22
Salsa,Danielle Spencer,29,Jessica Watson,13
Freestyle,Johnny Ruffo,30,Danielle Spencer,29
