Team,Total,Opponent,Ground
England,334/4,India,"Lord 's , London"
Pakistan,330/6,Sri Lanka,"Trent Bridge , Nottingham"
Australia,328/5,Sri Lanka,"The Oval , London"
New Zealand,309/5,East Africa,"Edgbaston Cricket Ground , Birmingham"
West Indies,291/8,Australia,"Lord 's , London"
England,290/5,East Africa,"Edgbaston Cricket Ground , Birmingham"
Australia,278/7,Pakistan,"Headingley , Leeds"
Sri Lanka,276/4,Australia,"The Oval , London"
Australia,274,West Indies,"Lord 's , London"
West Indies,267/9,Pakistan,"Edgbaston Cricket Ground , Birmingham"
