Year,Distance,Athlete,Place
1967,16.92 m ( 55 ft 6 in ),Aleksandr Zolotaryev ( URS ),Chorzow
1968,17.39 m ( 57 ft ⁄ 2 in ) A,Viktor Saneyev ( URS ),Ciudad de Mexico
1969,16.94 m ( 55 ft 6 ⁄ 4 in ),Viktor Saneyev ( URS ),Athina
1970,17.34 m ( 56 ft 10 ⁄ 2 in ),Viktor Saneyev ( URS ),Suhumi
1971,17.40 m ( 57 ft 1 in ),Pedro Pérez ( CUB ),Cali
1972,17.44 m ( 57 ft 2 ⁄ 2 in ),Viktor Saneyev ( URS ),Suhumi
1973,17.20 m ( 56 ft 5 in ),Mikhail Bariban ( URS ),Moscow
1974,17.23 m ( 56 ft 6 ⁄ 4 in ),Viktor Saneyev ( URS ),Rome
1975,17.89 m ( 58 ft 8 ⁄ 4 in ),João Carlos de Oliveira ( BRA ),Mexico City
1976,17.38 m ( 57 ft ⁄ 4 in ),João Carlos de Oliveira ( BRA ),Rio de Janeiro
1977,17.19 m ( 56 ft 4 ⁄ 4 in ),Ron Livers ( USA ),Sochi
1978,17.44 m ( 57 ft 2 ⁄ 2 in ),João Carlos de Oliveira ( BRA ),Bratislava
1979,17.27 m ( 56 ft 7 ⁄ 4 in ),João Carlos de Oliveira ( BRA ),San Juan
1980,17.35 m ( 56 ft 11 in ),Jaak Uudmäe ( URS ),Moscow
1981,17.56 m ( 57 ft 7 ⁄ 4 in ),Willie Banks ( USA ),"Sacramento , California"
1982,17.57 m ( 57 ft 7 ⁄ 2 in ),Keith Connor ( GBR ),Provo
1983,17.55 m ( 57 ft 6 ⁄ 4 in ),Vasiliy Grishchenkov ( URS ),Moscow
1984,17.46 m ( 57 ft 3 ⁄ 4 in ),Oleg Protsenko ( URS ),Moscow
1985,17.97 m ( 58 ft 11 ⁄ 4 in ),Willie Banks ( USA ),Indianapolis
1986,17.80 m ( 58 ft 4 ⁄ 4 in ),Khristo Markov ( BUL ),Budapest
