Location,Call sign,Frequency
"Anchorage , Alaska",KBBO-FM,92.1 FM
"Augusta , Georgia",WDRR,93.9 FM
"Austin / San Marcos , Texas",KBPA,103.5 FM
"Bloomington-Normal , Illinois",WBBE,97.9 FM
"Bluffton , South Carolina",WUBB,106.9 FM
"Boise , Idaho",KSRV-FM,96.1 FM
"Cambria , California",KCJZ,105.3 FM
"Carmel-by-the-Sea , California",KKHK-FM,95.5 FM
"Chico , California",KBQB,92.7 FM
"Edwards , California",KGBB,103.9 FM
"Erie , Pennsylvania",WXBB,94.7 FM
"Eugene , Oregon",KEUG,105.5 FM
"Fargo , North Dakota",KBVB,95.1 FM
"Fayetteville , North Carolina",WFLB,96.5 FM
"Fort Myers , Florida",WJGO,102.9 FM
"Hampton Roads - Norfolk , Virginia",WNOB,93.7 FM
"Harrisburg , Pennsylvania",WRBT,94.9 FM
"Lafayette , Indiana",WBPE,95.3 FM
"Minneapolis , Minnesota",KLCI,106.1 FM
"Myrtle Beach , South Carolina",WYNA,104.9 FM
