Round,Pick #,Overall,Name,Position,College
1,12,12,Christian Ponder,Quarterback,Florida State
2,11,43,Kyle Rudolph,Tight end,Notre Dame
4,9,106,Christian Ballard,Defensive tackle,Iowa
5,8,139,Brandon Burton,Cornerback,Utah
6,3,168,DeMarcus Love,Offensive tackle,Arkansas
6,5,170,Mistral Raymond,Safety,South Florida
6,7,172,Brandon Fusco,Center,Slippery Rock
6,35,200,Ross Homan,Linebacker,Ohio State
7,12,215,D'Aundre Reed,Defensive end,Arizona
7,33,236,Stephen Burton,Wide receiver,West Texas A & M
