Venue,City,State,Appearances,Last,Years
Greensboro Coliseum,Greensboro,North Carolina,27,2015,"1967 , 1971-75 , 1977-80 , 1982 , 1984 , 1986 , 1988 , 1995-98 , 2003-04 , 2006 , 2010-11 , 2013-15 , 2020 , 2023*"
Reynolds Coliseum,Raleigh,North Carolina,13,1966,1954-66
"Charlotte Coliseum ( Tyvola Road , demolished 2007 )",Charlotte,North Carolina,8,2002,"1990-94 , 1999-2000 , 2002"
Charlotte Coliseum ( Independence ),Charlotte,North Carolina,3,1970,"1968 , 1969 , 1970"
Capital Centre,Landover,Maryland,3,1987,"1976 , 1981 , 1987"
Omni Coliseum,Atlanta,Georgia,3,1989,"1983 , 1985 , 1989"
Georgia Dome,Atlanta,Georgia,2,2009,"2001 , 2009"
Capital One Arena,Washington,D.C,2,2016,"2005 , 2016 , 2021*"
Barclays Center,Brooklyn,New York,2,2018,"2017 , 2018 , 2022*"
Spectrum Center,Charlotte,North Carolina,2,2019,"2008 , 2019"
Amalie Arena,Tampa,Florida,1,2007,2007
State Farm Arena,Atlanta,Georgia,1,2012,2012
