Year,Title,Role
1997,FairyTale : A True Story,Hab
2004,Vanity Fair,Young Georgy
2004,Being Julia,Roger Gosselyn
2005,Brothers of the Head,Barry Howe
2006,Like Minds,Nigel Colby
2009,The Boat That Rocked,Carl
2011,Waiting for Forever,Will Donner
2011,Junkhearts,Danny
2012,On the Road,Carlo Marx
2013,Effie Gray,John Everett Millais
2014,Far from the Madding Crowd,Sergeant Troy
2015,Remainder,Tom
2017,Song to Song,BV 's Brother
2017,Mary Shelley,Lord Byron
2017,Journey 's End,Hibbert
2019,Velvet Buzzsaw,Jon Dondon
