Channel Number,Channel Name,Description
4K-BS101,NHK BS4K,NHK Programming ( 4K )
8K-BS102,NHK BS8K,NHK Programming ( 8K )
4K-BS141,BS Nittere 4K,Nippon TV /NNN Programming ( 4K )
4K-BS151,BS Asahi 4K,TV Asahi /ANN Programming ( 4K )
4K-BS161,BS-TBS 4K,TBS /JNN Programming ( 4K )
4K-BS171,BS TV Tokyo 4K,TV Tokyo /TXN Programming ( 4K )
4K-BS181,BS Fuji 4K,Fuji Television /FNN Programming ( 4K )
4K-BS203,The Cinema 4K,Movies ( 4K )
4K-BS211,Shop Channel 4K,Shopping ( 4K )
4K-BS221,4K QVC,Shopping ( 4K )
