Province,Lieutenant Governor,Since,List
Alberta,Lois Mitchell,12 June 2015,List
British Columbia,Janet Austin,24 April 2018,List
Manitoba,Janice Filmon,19 June 2015,List
New Brunswick,Brenda Murphy,8 September 2019,List
Newfoundland and Labrador,Judy Foote,3 May 2018,List
Nova Scotia,Arthur LeBlanc,28 June 2017,List
Ontario,Elizabeth Dowdeswell,23 September 2014,List
Prince Edward Island,Antoinette Perry,20 October 2017,List
Quebec,J. Michel Doyon,24 September 2015,List
Saskatchewan,Russell Mirasty,18 July 2019,List
