Title,Director/creator,Year,Notes
Black Summer,Karl Schaefer / John Hyams,2019,TV series
Dead Set,Charlie Brooker / Yann Demange,2008,TV series
Death Valley,,2011,TV series
Fear the Walking Dead,,2015-present,TV series
Fight of the Living Dead,Tony Valenzuela,2015,web-series
Highschool of the Dead,Tetsurō Araki,2010,TV series
In the Flesh,Dominic Mitchell,2013-2014,TV series
Is This a Zombie ?,Takaomi Kanasaki,2011,TV series
iZombie,Rob Thomas / Diane Ruggiero-Wright,2015-present,TV series
Pushing Daisies,Bryan Fuller,2007-2009,TV series
Sankarea,Shinichi Omata,2012,TV series
The Santa Clarita Diet,Victor Fresco,2016,Netflix TV series
The Walking Dead,Frank Darabont,2010-present,TV series
The Walking Dead in the Hood,Alex Gonzalez,2016,web-series
Woke Up Dead,Jon Heder,2009,web-series
Xombie ( a.k.a . Xombie : Dead on Arrival ),James Farr,2003,flash cartoons -series
Z Nation,Karl Schaefer / Craig Engler,2014-present,TV series
Zombie Hunters : City of the Dead,,2007-2014,TV series
Zombie Roadkill,David Green,2010,"shorts TV series , broadcast on Fearnet"
