Name,Branch,Birth date and age
Edward Byers,Navy,"( 1979-08-04 ) August 4 , 1979 ( age 40 )"
Kyle Carpenter,Marine Corps,"( 1989-10-17 ) October 17 , 1989 ( age 30 )"
Ty Carter,Army,"( 1980-01-25 ) January 25 , 1980 ( age 40 )"
Salvatore Giunta,Army,"( 1985-01-21 ) January 21 , 1985 ( age 35 )"
Florent Groberg,Army,"( 1983-05-08 ) May 8 , 1983 ( age 36 )"
Dakota Meyer,Marine Corps,"( 1988-06-26 ) June 26 , 1988 ( age 31 )"
Leroy Petry,Army,"( 1979-07-29 ) July 29 , 1979 ( age 40 )"
Ryan M. Pitts,Army,"( 1985-10-01 ) October 1 , 1985 ( age 34 )"
Clinton Romesha,Army,"( 1981-08-17 ) August 17 , 1981 ( age 38 )"
Ronald J. Shurer,Army,"( 1978-12-07 ) December 7 , 1978 ( age 41 )"
Britt K. Slabinski,Navy,"( 1969-12-01 ) December 1 , 1969 ( age 50 )"
William D. Swenson,Army,"( 1978-11-02 ) November 2 , 1978 ( age 41 )"
Kyle J . White,Army,"( 1987-03-27 ) March 27 , 1987 ( age 32 )"
Matthew O. Williams,Army,"( 1981-10-03 ) October 3 , 1981 ( age 38 )"
