Pick,Player,Recruited from,Recruited to
1,Jade Rawlings,Hawthorn,Western Bulldogs
2,Nick Stevens,Port Adelaide,Carlton
3,Phillip Read,West Coast Eagles,Melbourne
4,Ben Marsh,Adelaide Crows,Richmond
5,Paul Koulouriotis,Port Adelaide,Geelong
6,Shane Harvey,Essendon,Kangaroos
7,Doug Scott,Box Hill Hawks,Hawthorn
8,Michael Johnson,Perth Football Club,Fremantle
9,Pass,,Adelaide Crows
10,Jacob Surjan,South Fremantle Football Club,Port Adelaide
11,Luke Weller,Brisbane Lions,Richmond
12,Josh Mahoney,Williamstown Football Club,Port Adelaide
