Event,Time,Name,Club,Date,Location
50m freestyle,24.43,Simone Manuel,Alto Swim Club,5 December 2019,"Atlanta , United States"
100m freestyle,53.42,Erika Brown,University of Tennessee,7 December 2019,"Atlanta , United States"
200m freestyle,1:56.24,Katie Ledecky,Nation 's Capital Swim Club,6 December 2019,"Atlanta , United States"
400m freestyle,4:00.81,Katie Ledecky,Nation 's Capital Swim Club,5 December 2019,"Atlanta , United States"
800m freestyle,8:24.36,Stephanie Peacock,Swim Florida,7 August 2012,"Indianapolis , United States"
1500m freestyle,15:35.98,Katie Ledecky,Nation 's Capital Swim Club,7 December 2019,"Atlanta , United States"
100m backstroke,58.63,Phoebe Bacon,Nation 's Capital Swim Club,6 December 2019,"Atlanta , United States"
200m backstroke,2:08.42,Hayley McGregory,Longhorn Aquatics,30 July 2008,"Minneapolis , United States"
100m breaststroke,1:04.45,Jessica Hardy,Trojan Swimming Club,7 August 2009,"Federal Way , United States"
200m breaststroke,2:22.00,Emily Escobedo,Condors Swim Club,7 December 2019,"Atlanta , United States"
100m butterfly,57.48,Torri Huske,Arlington Aquatic Club,6 December 2019,"Atlanta , United States"
200m butterfly,2:07.20,Susie O'Neill,Australia,December 1999,"San Antonio , United States"
200m individual medley,2:08.84,Melanie Margalis,Saint Petersburg Aquatics,5 December 2019,"Atlanta , United States"
400m individual medley,4:37.34,Melanie Margalis,Saint Petersburg Aquatics,6 December 2019,"Atlanta , United States"
4×100m freestyle relay,3:42.38,( 55.80 ) Kelly Stubbins ( 55.27 ) Yolane Kukla ( 56.12 ) Madeline Groves ( 55.19 ) Mikkayla Sheridan,Australia,30 July 2013,"Irvine , United States"
4×200m freestyle relay,8:00.84,( 2:00.56 ) Sarah Denninghoff ( 1:58.43 ) Quinn Carrozza ( 2:00.89 ) Alexandra Hooper ( 2:00.96 ) Samantha Tucker,Longhorn Aquatics,1 August 2013,"Irvine , United States"
4×100m medley relay,4:04.64,( 1:01.76 ) Haley Baker ( 1:07.43 ) Leiston Pickett ( 1:00.56 ) Christina Licciardi ( 54.89 ) Yolane Kukla,Australia,2 August 2013,"Irvine , United States"
