Actor,Character,Duration
Eddie Alderson,Matthew Buchanan,2001-12
Kristen Alderson,Starr Manning,1998-2012
Gerald Anthony,Marco Dane,"1977-86 , 1989-90"
Melissa Archer,Natalie Buchanan,"2001-12 , 2013"
Humbert Allen Astredo,Bruno Weston,1979
Peter Bartlett,Nigel Bartholomew-Smythe,"1991-2012 , 2013"
Susan Batten,Luna Moody,"1991-96 , 2002-04 , 2012"
Kaitlyn Bausch,Briana Marland,2013
Jennifer Rae Beck,Eleanor Vaughn,2004
Doris Belack,Anna Wolek,1968-77
Esteban Benito,Diego Padilla,2013
Ellen Bethea,Rachel Gannon,"1992-95 , 2000-02 , 2005"
Corbin Bleu,Jeffrey King,2013
John Bolger,John Sykes,"1998-2001 , 2004"
Roscoe Born,Mitch Laurence,"1985-87 , 2002-03 , 2009-10 , 2012"
Jonathan Brandis,Kevin Buchanan,1982
Kathy Brier,Marcie Walsh McBain,"2002-09 , 2011"
Kale Browne,Sam Rappaport,1998-2001
Brandon Buddy,Cole Thornhart,2006-10
Alice Callahan,Kate Lane,2013
