Name,Year/degree,Notability
Helen ApSimon,PhD,Air pollution expert at Imperial College London
John Hutton Balfour,,Botanist and academic
Michael J. Belton,,Astronomer ; president of the Belton Space Exploration Initiatives ; chair of the 2002 NASA Planetary Science Decadal Survey ; emeritus astronomer at the Kitt Peak National Observatory
Michael Berry,1965 PhD,"Mathematical physicist , known for discovering the Berry phase"
Gavin Brown,1963 M.A,"Mathematician , Vice-Chancellor of the University of Sydney and the University of Adelaide"
Leslie Hilton Brown,,Agriculturalist and ornithologist
Hugh Cleghorn,1834 M.A,"Physician , botanist , forester , the father of scientific forestry in India"
Frank Close,1967 BSc,Particle physicist and Professor of Physics at the University of Oxford
Dougal Dixon,"1970 BSc , 1972 MSc",Geologist and author
Angus Fulton,1922 BSc,"Civil engineer , president of the Institution of Civil Engineers"
James Alexander Green,,Mathematician and professor at the University of Warwick ; active in the field of representation theory
Ernest William Lyons Holt,1888,Marine biologist and ichthyologist ; his work helped lay a scientific foundation for the fishery management in Ireland
James Irvine,BSc,"Organic chemist and principal and vice-chancellor of the University of St Andrews , as a research chemist , Irvine worked on the application of methylation techniques to carbohydrates , and isolated the first methylated sugars , trimethyl and tetramethyl glucose"
Francis Robert Japp,1868 M.A,"Chemist , known for discovering the Japp-Klingemann reaction"
Benedict Jones,2005 PhD,Academic ; research psychologist and lecturer at the University of Glasgow ; studies the biological and social factors underlying face perception and preferences
John Scott Keltie,,"Geographer , known for his work with the Royal Geographical Society"
William Elford Leach,,"Zoologist and marine biologist , described several species including Libinia emarginata"
John Leslie,1779,"Physicist and mathematician , gave the first modern description of capillary action and the artificial production of ice , developed the Leslie cube"
James Bowman Lindsay,1825,"Inventor , author , credited with early developments in several fields , such as incandescent lighting and telegraphy"
Donald MacCrimmon MacKay,1943 BSc,Physicist
