Games,Gold,Silver,Bronze
1948 St. Moritz details,Hedy Schlunegger Switzerland,Trude Beiser Austria,Resi Hammerer Austria
1952 Oslo details,Trude Jochum-Beiser Austria,Mirl Buchner Germany,Giuliana Minuzzo Italy
1956 Cortina d'Ampezzo details,Madeleine Berthod Switzerland,Frieda Dänzer Switzerland,Lucille Wheeler Canada
1960 Squaw Valley details,Heidi Biebl United Team of Germany,Penelope Pitou United States,Traudl Hecher Austria
1964 Innsbruck details,Christl Haas Austria,Edith Zimmermann Austria,Traudl Hecher Austria
1968 Grenoble details,Olga Pall Austria,Isabelle Mir France,Christl Haas Austria
1972 Sapporo details,Marie-Theres Nadig Switzerland,Annemarie Pröll Austria,Susan Corrock United States
1976 Innsbruck details,Rosi Mittermaier West Germany,Brigitte Totschnig Austria,Cindy Nelson United States
1980 Lake Placid details,Annemarie Moser-Pröll Austria,Hanni Wenzel Liechtenstein,Marie-Theres Nadig Switzerland
1984 Sarajevo details,Michela Figini Switzerland,Maria Walliser Switzerland,Olga Charvátová Czechoslovakia
1988 Calgary details,Marina Kiehl West Germany,Brigitte Oertli Switzerland,Karen Percy Canada
1992 Albertville details,Kerrin Lee-Gartner Canada,Hilary Lindh United States,Veronika Wallinger Austria
1994 Lillehammer details,Katja Seizinger Germany,Picabo Street United States,Isolde Kostner Italy
1998 Nagano details,Katja Seizinger ( 2 ) Germany,Pernilla Wiberg Sweden,Florence Masnada France
2002 Salt Lake City details,Carole Montillet France,Isolde Kostner Italy,Renate Götschl Austria
2006 Turin details,Michaela Dorfmeister Austria,Martina Schild Switzerland,Anja Pärson Sweden
2010 Vancouver details,Lindsey Vonn United States,Julia Mancuso United States,Elisabeth Görgl Austria
2014 Sochi details,Dominique Gisin Switzerland Tina Maze Slovenia,None awarded,Lara Gut Switzerland
2018 Pyeongchang details,Sofia Goggia Italy,Ragnhild Mowinckel Norway,Lindsey Vonn United States
