Dance,Best dancer,Best score,Worst dancer,Worst score
Cha-cha-cha,Shy 'm,27,Véronique Jannot,15
Quickstep,Philippe Candeloro,25,Baptiste Giabiconi,12
Rumba,Baptiste Giabiconi,29,Cédric Pioline,13
Jive,Francis Lalanne,26,Nâdiya Sheila,14
Tango,Philippe Candeloro,28,Sheila,15
Viennese Waltz,Baptiste Giabiconi,27,Sheila,11
Foxtrot,Shy 'm,29,Véronique Jannot Francis Lalanne,16
Samba,Shy 'm,28,Phillipe Candeloro Francis Lalanne,15
Paso Doble,Shy 'm,28,Sheila,12
Jive Marathon,Baptiste Giabiconi,14,Véronique Jannot,2
Charleston,Baptiste Giabiconi,27,Sheila,19
