Name,Owner,Established
Channel One Russia,Rosimuschestvo ( state-owned ) and Roman Abramovich,1951
Channel One International,Channel One Russia,1999
Channel One Baltics,Channel One Russia,2002
Rossiya 1,All-Russia State Television and Radio Broadcasting Company,1991
Russia K ( ex Kultura ),All-Russia State Television and Radio Broadcasting Company,1997
RTR Planeta ( International version of Russia 1 and Russia K ),All-Russia State Television and Radio Broadcasting Company,2002
Rossiya 2 ( ex Sport ),All-Russia State Television and Radio Broadcasting Company,2003
Rossiya 24 ( ex Vesti ),All-Russia State Television and Radio Broadcasting Company,2006
Carousel,Channel One Russia and All-Russia State Television and Radio Broadcasting Company,2010
Carousel International ( based on Telenyanya ),Channel One Russia and All-Russia State Television and Radio Broadcasting Company,2010
TV Tsentr,Government of Moscow,1997
TVCI ( International version of TV Tsentr ),Government of Moscow,2003
NTV,Gazprom-Media,1993
NTV Plus,Gazprom-Media,1996
TNT,Gazprom-Media,1998
NTV Canada,NTV Canada Inc,2006
Telekanal Zvezda,Ministry of Defence,2005
MIR,10 states from CIS,1992
