Rank,Name,Circulation,Publisher
1,Cosmopolitan,980.000,Independent Media Sanoma Magazines
2,Glamour,730.000,Condé Nast Publications
3,Maxim,390.000,Hearst Shkulev Media
4,Psychologies,360.000,Hearst Shkulev Media
5,Hello,350.000,
6,Good Housekeeping,230.000,Independent Media Sanoma Magazines
7,National Geographic,230.000,Independent Media Sanoma Magazines
8,Elle,220.000,Hearst Shkulev Media
9,Xakep,220.000,
10,Cosmopolitan Shopping,200.000,Independent Media Sanoma Magazines
11,Igromania,180.000,Tehnomir
12,Men 's Health,160.000,Independent Media Sanoma Magazines
13,Playboy,160.000,Burda
14,Vogue,150.000,Condé Nast Publications
15,L'Officiel,150.000,
16,Elle Girl,140.000,Hearst Shkulev Media
17,XXL,140.000,IDR
18,Esquire,125.000,Independent Media Sanoma Magazines
19,Marie Claire,125.000,Hearst Shkulev Media
20,Harper 's Bazaar,120.000,Independent Media Sanoma Magazines
