Name,Position,Notes
Lancelot Andrewes,Scholar,"Andrewes studied at Merchant Taylors ' School and Pembroke Hall , Cambridge and was later Bishop of Chichester , Bishop of Winchester and one of the translators of the King James Bible . He was also named as a Scholar in the 1622 charter"
William Aubrey,Fellow and Commissioner,A former Regius Professor of Civil Law ( 1553-1559 ) ; reappointed as a Commissioner in the 1589 charter
Nicholas Bacon,Commissioner,Lord Keeper of the Great Seal under Elizabeth I
"William Cecil , Lord Burghley",Commissioner,Secretary of State and leading adviser to Elizabeth I ; reappointed as a Commissioner in the 1589 charter
The Chancellor or Vice-Chancellor of the university,Commissioner,"The Chancellor at the time of the 1571 charter was Robert Dudley , 1st Earl of Leicester ( Chancellor 1564-1588 , with Sir Thomas Bromley deputising for him between 1585 and 1588 ) . Dudley was succeeded by Sir Christopher Hatton ( Chancellor 1588-1591 ) , who was named as a Commissioner in the 1589 charter . The Vice-Chancellor in 1571 was Lawrence Humphrey . He was succeeded in 1576 by Herbert Westphaling , who was named as a Commissioner in the 1589 charter . After Westphaling , there was a new Vice-Chancellor every year until the 1589 charter"
John Cotterell,Fellow,"Clergyman , formerly Principal of White Hall and Laurence Hall , Oxford"
Thomas Dove,Scholar,"Dove studied at Merchant Taylors ' School and Pembroke Hall , Cambridge . He was also named in the 1622 charter , and became Bishop of Peterborough"
Gregory Downhall,Scholar,"Studied at Merchant Taylors ' School ( where he was a founding scholar ) and Pembroke Hall , Cambridge"
William Garth,Scholar,Unknown background - no evidence that he matriculated at either Oxford or Cambridge
Gilbert Gerard,Commissioner,Attorney-General under Elizabeth I ; reappointed as a Commissioner in the 1589 charter
John Higginson,Fellow,"A Leicestershire priest , named as a Fellow of the college in the 1622 charter"
Thomas Huet,Fellow,Precentor of St David 's Cathedral ( 1562-1588 )
Thomas Huyck,Fellow and Commissioner,Chancellor of the Diocese of London
Robert Johnson,Fellow,"Later Archdeacon of Leicester and founder of Oakham and Uppingham Schools , and named as a Fellow of the college in the 1622 charter"
David Lewis,Principal and Commissioner,"First Principal ( resigning 1572 ) ; Fellow of All Souls , former Principal of New Inn Hall , Oxford , a judge of the High Court of Admiralty ( appointed in 1558 )"
John Lloyd,Fellow,"Former Dean of St Asaph , judge of the High Court of Admiralty"
Robert Lougher,Fellow,"Principal of New Inn Hall , Oxford ( 1564-1570 and 1575-1580 ) and Regius Professor of Civil Law ( 1566-1577 )"
John Osmand,Scholar,Unknown background - no evidence that he matriculated at either Oxford or Cambridge
William Platt,Scholar,"Studied at Merchant Taylors ' School and Christ 's College , Cambridge"
Hugh Price,Commissioner,"Treasurer of St David 's Cathedral and founder of the college , his name appears twice in the charter ( as a benefactor promising a bequest worth £60 per year , and then as the first-named Commissioner )"
