Player,Team,Overs,Figures,Opponent,Ground
Craig McDermott,Australia,10.0,5/44,Pakistan,"Gaddaffi Stadium , Lahore"
Manoj Prabhakar,India,8.0,4/19,Zimbabwe,"Wankhede Stadium , Mumbai"
Abdul Qadir,Pakistan,10.0,4/31,England,Pindi Club Ground ' Rawalpindi
Imran Khan,Pakistan,8.3,4/37,West Indies,"Gaddaffi Stadium , Lahore"
Imran Khan,Pakistan,8.3,4/37,England,"National Stadium , Karachi"
Simon O'Donnell,Australia,12.0,5/39,Pakistan,"Gaddaffi Stadium , Lahore"
Courtney Walsh,West Indies,10.0,4/40,Pakistan,"M. A. Chidambaram Stadium , Chennai"
Eddie Hemmings,England,9.3,4/52,India,"Wankhede Stadium , Mumbai"
Craig McDermott,Australia,10.0,4/56,India,"M. A. Chidambaram Stadium , Chennai"
Mohammad Azharuddin,India,3.5,3/19,Australia,"Feroz Shah Kotla , Delhi"
