Rank,Name,Highest-grossing film,Total worldwide box office
1,Steven Spielberg,Jurassic Park ( $ 1.030 billion ),"$ 10,548,456,861"
2,Russo brothers,Avengers : Endgame ( $ 2.795 billion ),"$ 6,844,248,566"
3,Peter Jackson,The Lord of the Rings : The Return of the King ( $ 1.120 billion ),"$ 6,546,042,615"
4,Michael Bay,Transformers : Dark of the Moon ( $ 1.123 billion ),"$ 6,443,668,117"
5,James Cameron,Avatar ( $ 2.789 billion ),"$ 6,235,731,293"
6,David Yates,Harry Potter and the Deathly Hallows - Part 2 ( $ 1.341 billion ),"$ 5,983,939,913"
7,Christopher Nolan,The Dark Knight Rises ( $ 1.084 billion ),"$ 4,704,255,828"
8,J. J. Abrams,Star Wars : The Force Awakens ( $ 2.068 billion ),"$ 4,625,988,452"
9,Tim Burton,Alice in Wonderland ( $ 1.025 billion ),"$ 4,412,653,899"
10,Jon Favreau,The Lion King ( $ 1.656 billion ),"$ 4,333,849,545"
11,Robert Zemeckis,Forrest Gump ( $ 679.8 million ),"$ 4,329,877,462"
12,Ron Howard,The Da Vinci Code ( $ 767.8 million ),"$ 4,300,016,511"
13,Ridley Scott,The Martian ( $ 630.1 million ),"$ 4,207,154,043"
14,Chris Columbus,Harry Potter and the Philosopher 's Stone ( $ 978.0 million ),"$ 4,093,167,888"
15,Roland Emmerich,Independence Day ( $ 807.4 million ),"$ 3,953,600,182"
16,Bryan Singer,Bohemian Rhapsody ( $ 903.6 million ),"$ 3,733,688,114"
17,Pierre Coffin,Minions ( $ 1.159 billion ),"$ 3,713,742,291"
18,Gore Verbinski,Pirates of the Caribbean : Dead Man 's Chest ( $ 1.066 billion ),"$ 3,684,949,039"
19,James Wan,Furious 7 ( $ 1.515 billion ),"$ 3,660,552,105"
20,George Lucas,Star Wars : Episode I - The Phantom Menace ( $ 1.027 billion ),"$ 3,448,142,176"
