Committee,Makeup,Chair,Ranking Member
Accountability & Reform,3 MCC / 2 D,Mark Miloscia,Pramila Jayapal
"Agriculture , Water & Rural Economic Development",3 MCC / 2 D,Judy Warnick,Brian Hatfield
Commerce & Labor,4 MCC / 3 D,Michael Baumgartner,Bob Hasegawa
Early Learning & K-12 Education,5 MCC / 4 D,Steve Litzow,Rosemary McAuliffe
"Energy , Environment & Telecommunications",5 MCC / 4 D,Doug Ericksen,John McCoy
Financial Institutions & Insurance,5 MCC / 4 D,Don Benton,Mark Mullet
Government Operations & State Security,4 MCC / 3 D,Pam Roach,Marko Liias
Health Care,8 MCC / 5 D,Randi Becker,David Frockt
Higher Education,4 MCC / 3 D,Barbara Bailey,Jeanne Kohl-Welles
"Human Services , Mental Health & Housing",3 MCC / 2 D,Steve O'Ban,Jeannie Darneille
Law & Justice,4 MCC / 3 D,Mike Padden,Jamie Pedersen
Natural Resources & Parks,4 MCC / 3 D,Kirk Pearson,Brian Hatfield
Rules,11 MCC / 7 D,Brad Owen,Pam Roach
Trade & Economic Development,4 MCC / 3 D,Sharon Brown,Maralyn Chase
Transportation,9 MCC / 6 D,Curtis King,Steve Hobbs
Ways & Means,13 MCC / 10 D,Andy Hill,James Hargrove
