Club,Last appearance in MLS Cup Conference Final,Length of drought
Chicago Fire,2009,10 seasons
Philadelphia Union,never ( club entered MLS in 2010 ),10 seasons
San Jose Earthquakes,2010,9 seasons
Vancouver Whitecaps FC,never ( club entered MLS in 2011 ),9 seasons
D.C. United,2012,7 seasons
Real Salt Lake,2013,6 seasons
LA Galaxy,2014,5 seasons
New England Revolution,2014,5 seasons
New York City FC,never ( club entered MLS in 2015 ),5 seasons
Orlando City SC,never ( club entered MLS in 2015 ),5 seasons
FC Dallas,2015,4 seasons
Colorado Rapids,2016,3 seasons
Minnesota United FC,never ( club entered MLS in 2017 ),3 seasons
Montreal Impact,2016,3 seasons
Columbus Crew SC,2017,2 seasons
Houston Dynamo,2017,2 seasons
FC Cincinnati,never ( club entered MLS in 2019 ),1 season
New York Red Bulls,2018,1 season
Portland Timbers,2018,1 season
Sporting Kansas City,2018,1 season
