Club,Nickname,Location,Qualified as
Ainslie Football Club,Tri- Colours,"Ainslie , ACT",AFL Canberra premiers 2010
Claremont Football Club,Tigers,"Claremont , Western Australia",West Australian Football League runners-up 2010
Clarence Football Club,Kangaroos,"Clarence , Tasmania",Tasmanian Football League premiers 2010
East Coast Eagles Australian Football Club,Eagles,"Rouse Hill , NSW",Sydney AFL premiers 2010
East Perth Football Club,Royals,"Leederville , Western Australia",West Australian Football League 3rd place 2010
Greater Western Sydney Giants,Giants,"Blacktown , NSW",Australian Football League Expansion club
Labrador Australian Football Club,Tigers,"Labrador , Queensland",Queensland Australian Football League runners-up 2010
Morningside Australian Football Club,Panthers,"Hawthorne , Queensland",Queensland Australian Football League premiers 2010
North Adelaide Football Club,Roosters,"Prospect , South Australia","South Australian National Football League 7th place , 2010 SA invitee"
North Ballarat Football Club,Roosters,"Ballarat , Victoria",Victorian Football League premiers 2010
Northern Bullants Football Club,Bullants,"Preston , Victoria",Victorian Football League runners-up 2010
Northern Territory Football Club,Thunder,"Darwin , Northern Territory",Queensland Australian Football League 5th place 2010 NT representative
Port Adelaide Football Club ( SANFL ),Magpies,"Alberton , South Australia",South Australian National Football League 8th place 2010 SA invitee
Swan Districts Football Club,Swans,"Bassendean , Western Australia",West Australian Football League premiers 2010
West Adelaide Football Club,Bloods,"Richmond , South Australia",South Australian National Football League 6th place 2010 SA invitee
Williamstown Football Club,Seagulls,"Williamstown , Victoria",Victorian Football League 3rd place 2010
