Year,Time,Athlete,Date,Place
1921,2:47:29.8,Florestano Benedetti ( ITA ),1921-09-20,"Bologna , Italy"
1922,2:46:26,Gabriel Ruotsalainen ( FIN ),1922-09-10,"Helsinki , Finland"
1923,2:40:47,Aksel Jensen ( DEN ),1923-06-16,"Windsor , England"
1924,2:36:10,Shizo Kanaguri ( JPN ),1924-04-12,"Tokyo , Japan"
1925,2:35:59,Sam Ferris ( GBR ),1925-05-30,"Windsor , England"
1926,2:34:25,Iivari Rötkö ( FIN ),1926-09-12,"Helsinki , Finland"
1927,2:35:21.4,Verner Laaksonen ( FIN ),1927-09-11,"Helsinki , Finland"
1928,2:32:57,Boughera El Ouafi ( FRA ),1928-08-05,"Amsterdam , Netherlands"
1929,2:30:57.6,Harry Payne ( GBR ),1929-07-05,"Stamford Bridge , England"
1930,2:36:33,Fukutaro Shibui ( JPN ),1930-05-28,"Tokyo , Japan"
1931,2:33:19,Juan Zabala ( ARG ),1931-10-28,"Košice , Slovakia"
1932,2:31:31,Tanji Yahagi ( JPN ),1932-04-30,"Tokyo , Japan"
1933,2:31:10,Kozo Kusunoki ( JPN ),1933-11-03,"Tokyo , Japan"
1934,2:32:56,Tamao Shiwaku ( JPN ),1934-11-23,"Osaka , Japan"
1935,2:26:14,Sohn Kee-Jung ( JPN ),1935-03-21,"Tokyo , Japan"
1936,2:28:32,Sohn Kee-Jung ( JPN ),1936-04-18,"Tokyo , Japan"
1937,2:30:38,Manuel Dias ( POR ),1937-03-28,"Lisbon , Portugal"
1938,2:30:27.6,Pat Dengis ( USA ),1938-05-30,"Salisbury , Massachusetts , United States"
1939,2:31:26,Toyu Go ( JPN ),1939-11-03,"Tokyo , Japan"
1940,2:33:42,Shoichiro Takenaka ( JPN ),1940-11-01,"Tokyo , Japan"
