Title,Publisher,Release Date,CERO
F-Zero,Nintendo,"March 4 , 2016",A
Mother 2 : Gyiyg no Gyakushū,Nintendo,"March 4 , 2016",A
Super Donkey Kong,Nintendo,"March 4 , 2016",A
Super Mario World,Nintendo,"March 4 , 2016",A
Zelda no Densetsu : Kamigami no Triforce,Nintendo,"March 4 , 2016",A
Pilotwings,Nintendo,"April 6 , 2016",A
Super Donkey Kong 2 : Dixie & Diddy,Nintendo,"April 6 , 2016",A
Super Metroid,Nintendo,"April 6 , 2016",A
Contra Spirits,Konami,"May 9 , 2016",A
Rockman 7 : Shukumei no Taiketsu !,Capcom,"May 9 , 2016",A
Rockman X,Capcom,"May 9 , 2016",A
Super Donkey Kong 3 : Nazo no Krems Shima,Nintendo,"May 9 , 2016",A
Super Mario Kart,Nintendo,"May 9 , 2016",A
Ganbare Goemon : Yukihime Kyūshutsu Emaki,Konami,"June 7 , 2016",A
Kirby Bowl,Nintendo,"June 7 , 2016",A
Super Street Fighter II : The New Challengers,Capcom,"June 7 , 2016",B
Fire Emblem : Monshō no Nazo,Nintendo,"June 22 , 2016",A
Chou Makaimura,Capcom,"July 20 , 2016",A
Rockman X2,Capcom,"July 20 , 2016",A
Street Fighter II′ Turbo : Hyper Fighting,Capcom,"July 20 , 2016",B
