Year,Title,Role,Notes
1996-1997,Flash Forward,Tucker Tuck James,"Lead role ; 26 episodes Nominated - Gemini Award for Best Performance in a Children 's or Youth Program or Series ( 1997 , 1998 )"
1998,You Wish,Earl,Episode : Future Shock
1998,I 've Been Waiting for You,Charlie,Television film
1998,Breakfast with Einstein,Ryan,Television film
1999-2000,Freaks and Geeks,Eli,2 episodes
2000,Family Law,Jason Nelson,Episode : A Mother 's Son
2001-2002,Boston Public,Max Warner,2 episodes
2002,Bang Bang You 're Dead,Trevor Adams,Television film Daytime Emmy Award for Outstanding Performer in Children 's Programming
2003-2005,Six Feet Under,Russell Corwin,22 episodes ( 1 uncredited ) Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series ( 2004 ) Nominated - Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series ( 2005 )
2005,The Dead Zone,Darren Foldes,Episode : The Last Goodbye
2007,My Name Is Earl,Glenn,2 episodes
2012,Robot Chicken,Orville Redenbacher / Time traveller,Voice ; episode : Executed by the State
