Date,Sport,Venue/Event,Status,Winner/s
1,Formula One,2015 Mexican Grand Prix,International,Nico Rosberg ( Mercedes )
1,Marathon,2015 New York City Marathon ( WMM # 6 ),International,Men : Stanley Biwott Women : Mary Jepkosgei Keitany
2-8,Tennis,2015 WTA Elite Trophy,International,Singles : Venus Williams Doubles : Liang Chen / Wang Yafan
4-15,Association football,2015 AFC U-16 Women 's Championship,Continental,North Korea
5-8,Golf,2015 WGC-HSBC Champions,International,Russell Knox
6-8,Roller derby,2015 WFTDA International Championships,International,"Division 1 : Rose City Rollers Wheels of Justice ( Portland , Oregon ) ( MVP : Scald Eagle ) Division 2 : Sacred City Sacrificers ( Sacramento , California )"
7-14,Curling,2015 Pacific-Asia Curling Championships,Continental,Men : South Korea ( Skip : Kim Soo-hyuk ) Women : Japan ( Skip : Satsuki Fujisawa )
8,Motorcycle racing,2015 Valencian Community motorcycle Grand Prix,International,"MotoGP : Jorge Lorenzo ( Movistar Yamaha MotoGP ) Moto2 : Esteve Rabat ( EG 0,0 Marc VDS ) Moto3 : Miguel Oliveira ( Red Bull KTM Ajo )"
8-21,Baseball,/ 2015 WBSC Premier12,International,South Korea
14-22,Fistball,2015 Men 's Fistball World Championships,International,Germany
15,Formula One,2015 Brazilian Grand Prix,International,Nico Rosberg ( Mercedes )
15-22,Squash,2015 Men 's World Open Squash Championship,International,Grégory Gaultier
15-22,Tennis,2015 ATP World Tour Finals,International,Singles : Novak Djokovic Doubles : Jean-Julien Rojer / Horia Tecău
20-28,Curling,2015 European Curling Championships,Continental,Men : Sweden ( Skip : Niklas Edin ) Women : Russia ( Skip : Anna Sidorova )
20-28,Weightlifting,2015 World Weightlifting Championships,International,China
20-29,Amateur boxing,2015 EUBC European Confederation Youth Boxing Championships,Continental,Russia
24-28,Powerlifting,2015 IPC Powerlifting European Open Championships,Continental,China
25-29,Trampolining,2015 Trampoline World Championships,International,China
28-6 December,Field hockey,2014-15 Men 's FIH Hockey World League Final,International,Australia
28-12 December,Association football,2015 U-23 Africa Cup of Nations,Continental,Nigeria
