Medal,Name,Games,Sport,Event
Bronze,Willi Frommelt,1976 Innsbruck,Alpine skiing,Men 's slalom
Bronze,Hanni Wenzel,1976 Innsbruck,Alpine skiing,Women 's slalom
Gold,Hanni Wenzel,1980 Lake Placid,Alpine skiing,Women 's giant slalom
Gold,Hanni Wenzel,1980 Lake Placid,Alpine skiing,Women 's slalom
Silver,Hanni Wenzel,1980 Lake Placid,Alpine skiing,Women 's downhill
Silver,Andreas Wenzel,1980 Lake Placid,Alpine skiing,Men 's giant slalom
Bronze,Andreas Wenzel,1984 Sarajevo,Alpine skiing,Men 's giant slalom
Bronze,Ursula Konzett,1984 Sarajevo,Alpine skiing,Women 's slalom
Bronze,Paul Frommelt,1988 Calgary,Alpine skiing,Men 's slalom
Bronze,Tina Weirather,2018 Pyeongchang,Alpine skiing,Women 's super-G
