Year,Title,Role
2000,Urban Legends : Final Cut,Toby Belcher
2000,Tully,Tully Coates Jr
2000,Boiler Room,Broker
2002,Crossroads,Ben Kimble
2002,City by the Sea,Dave Simon
2002,Poolhall Junkies,Chris
2003,The Battle of Shaker Heights,Mine Weber
2004,The Warrior Class,Alec Brno
2005,In Her Shoes,Todd
2006,All the Boys Love Mandy Lane,Garth
2006,Walk the Talk,Larry
2006,Hood of Horror,Tex Jr
2007,Privacy Policy,Detective Barry
2008,The Two Mr. Kissels,Robert Kissel
2009,Cook County,Bump
2009,Burning Palms,Tom
2011,Straw Dogs,Coach Stan Milkens
2011,Hick,Nick
2012,Safe,Alex Rosen
2012,Seal Team Six : The Raid on Osama Bin Laden,Cherry
