Team,Head Coach,Captain,Kit manufacturer,Shirt sponsor
Chicago Fire,Frank Klopas,Logan Pause,Adidas,
Chivas USA,Robin Fraser,Simon Elliott,Adidas,Corona
Colorado Rapids,Gary Smith,Pablo Mastroeni,Adidas,
Columbus Crew,Robert Warzycha,Chad Marshall,Adidas,
D.C. United,Ben Olsen,Josh Wolff,Adidas,Volkswagen
FC Dallas,Schellas Hyndman,Daniel Hernández,Adidas,
Houston Dynamo,Dominic Kinnear,Brian Ching,Adidas,Greenstar
Los Angeles Galaxy,Bruce Arena,Landon Donovan,Adidas,Herbalife
New England Revolution,Steve Nicol,Shalrie Joseph,Adidas,UnitedHealthcare
New York Red Bulls,Hans Backe,Thierry Henry,Adidas,Red Bull
Philadelphia Union,Piotr Nowak,Faryd Mondragón,Adidas,Bimbo
Portland Timbers,John Spencer,Jack Jewsbury,Adidas,Alaska Airlines
Real Salt Lake,Jason Kreis,Kyle Beckerman,Adidas,XanGo
San Jose Earthquakes,Frank Yallop,Ramiro Corrales,Adidas,Amway Global
Seattle Sounders FC,Sigi Schmid,Kasey Keller,Adidas,Xbox
Sporting Kansas City,Peter Vermes,Davy Arnaud,Adidas,
Toronto FC,Aron Winter,Torsten Frings,Adidas,Bank of Montreal
Vancouver Whitecaps FC,Tom Soehn,Jay DeMerit,Adidas,Bell Canada
