Date,Co-Hosts,Guests/Segments
November 1,Regis Philbin & Kelly Ripa,"Jerry Seinfeld , Amanda Peet"
November 2,Regis Philbin & Kelly Ripa,"Marisa Tomei , Baby Bash , Damien Fahey"
November 5,Regis Philbin & Kelly Ripa,"Taye Diggs , James Pickens , Jr. , chef Nigella Lawson"
November 6,Regis Philbin & Kelly Ripa,"Portia de Rossi , Dylan McDermott , Regis gets a flu shot"
November 7,Regis Philbin & Kelly Ripa,"Eric Dane , Tom Brokaw , Seal"
November 8,Regis Philbin & Kelly Ripa,"John Stamos , Vince Vaughn"
November 9,Regis Philbin & Kelly Ripa,"Jonathan Rhys Meyers , Paul Giamatti"
November 12,Regis Philbin & Kelly Ripa,"David Boreanaz , Heidi Klum , Thanksgiving Recipe Week"
November 13,Regis Philbin & Kelly Ripa,"Dustin Hoffman , Thanksgiving Recipe Week"
November 14,Regis Philbin & Kelly Ripa,"Benjamin Bratt , Alicia Keys , Thanksgiving Recipe Week"
November 15,Regis Philbin & Kelly Ripa,"Natalie Portman , Boyz II Men , Thanksgiving Recipe Week"
November 16,Regis Philbin & Kelly Ripa,"Richard Gere , Michael C. Hall , David Duchovny , Thanksgiving Recipe Week"
November 19,Regis Philbin & Kelly Ripa,"Dana Delany , Neil Patrick Harris"
November 20,Regis Philbin & Kelly Ripa,Patrick Dempsey
November 21,Regis Philbin & Kelly Ripa,"Donald Trump , Jordin Sparks"
November 23,Regis Philbin & Kelly Ripa,"Nicole Kidman , James Blunt"
November 26,Regis Philbin & Kelly Ripa,"Jessica Alba , Jimmie Johnson , Menudo"
November 27,Regis Philbin & Kelly Ripa,"LIVE ! in The Bahamas , Tim Gunn , Jonas Brothers , Project Runway : Bahamas Edition"
November 28,Regis Philbin & Kelly Ripa,"LIVE ! in The Bahamas , Kellie Pickler , Regis tests his tennis skills with Venus Williams as they take on Gelman and the world 's # 3 ranked Doubles player , Mark Knowles"
November 29,Regis Philbin & Kelly Ripa,"LIVE ! in The Bahamas , Kyle MacLachlan , Sean Kingston , Kelly and her son Michael swim with the dolphins and visit the Aquarium 's animal hospital"
