Year,Tournament,Partner,Opponent,Score,Result
2006,Waikato International,Doriana Rivera,Craig Cooper Renee Flavell,"17-21 , 18-21",Runner-up
2005,Giraldilla International,Yoana Martínez,Philippe Bourret Helen Nichol,"15-5 , 15-5",Winner
2005,Miami PanAm International,Yoana Martínez,Mike Beres Jody Patrick,"11-15 , 10-15",Runner-up
2004,Spanish International,Dolores Marco,Vicente Ortgosa Alicia Calonge,,Winner
2003,Brazil International,Dolores Marco,Matthew Hughes Joanne Muggeridge,"12-15 , 15-13 , 15-13",Winner
2003,Dominican Republic International,Dolores Marco,Philippe Bourret Denyse Julien,"15-4 , 17-15",Winner
2003,Peru International,Dolores Marco,Matthew Hughes Joanne Muggeridge,"2-15 , 13-15",Runner-up
2002,Spanish International,Dolores Marco,Graeme Smith Kirsteen McEwan,"2-7 , 8-7 , 6-8",Runner-up
2000,Hungarian International,Dolores Marco,Sergio Llopis Mercedes Cuenca,"15-1 , 15-7",Winner
2000,Chile International,Dolores Marco,Mike Beres Kara Solmundson,"9-15 , 10-15",Runner-up
1999,Guatemala International,Dolores Marco,Mike Beres Kara Solmundson,"12-15 , 15-10 , 15-10",Winner
1999,Argentina International,Dolores Marco,Hugo Rodrigues Ana Ferreira,"16-17 , 10-15",Runner-up
1998,Slovenian International,Dolores Marco,Andrej Pohar Maja Pohar,"2-15 , 15-11 , 8-15",Runner-up
