Year,Title,Language,Channel
1986,Chhoti Badi Baatein,Hindi,
,Rishtey ( Season 1 ) Episode : Jeeya Jaaye Naa,Hindi,Zee TV
,Rishtey ( Season 2 ) Episode : Chhaaya,Hindi,Zee TV
1996,Badalte Rishte,Hindi,
1997-1999,Tanha,Hindi,Star Plus
1998,Woh,Hindi,Zee Tv
1998,Alpviram,Hindi,Sony TV
2004,Kumkum - Ek Pyara Sa Bandhan,Hindi,Star Plus
2006,Resham Dankh,Hindi,STAR One
2008,Ek Packet Umeed,Hindi,NDTV Imagine
2011,Mrs. Tendulkar,Hindi,SAB TV
2013,Kehta Hai Dil Jee Le Zara,Hindi,Sony Entertainment Television
2014-2016,Asmita,Marathi,Zee Marathi
