Rank,Age,Name,Year in Film,Date of Birth,Date of Award
1,"98 years , 137 days",Robert F. Boyle,2007,"October 10 , 1909","February 24 , 2008"
2,"94 years , 341 days",Eli Wallach,2010,"December 7 , 1915","November 13 , 2010"
3,"94 years , 83 days",Maureen O'Hara,2014,"August 17 , 1920","November 8 , 2014"
4,"93 years , 334 days",Cicely Tyson,2018,"December 19 , 1924","November 18 , 2018"
5,"92 years , 86 days",Hal Roach,1983,"January 14 , 1892","April 9 , 1984"
6,"91 years , 74 days",Lina Wertmüller,2019,"August 14 , 1928","October 27 , 2019"
7,"90 years , 336 days",Anne V. Coates,2016,"December 12 , 1925","November 12 , 2016"
8,"89 years , 195 days",Elia Kazan,1998,"September 7 , 1909","March 21 , 1999"
9,"89 years , 165 days",Agnès Varda,2017,"May 30 , 1928","November 11 , 2017"
10,"89 years , 139 days",Dick Smith,2011,"June 26 , 1922","November 12 , 2011"
