Year,Title,Role
1978,Goin ' South,Julia Tate Moon
1979,Time After Time,Amy
1980,Melvin and Howard,Lynda West Dummar
1981,Ragtime,Mother
1982,A Midsummer Night 's Sex Comedy,Adrian
1983,Cross Creek,Marjorie Kinnan Rawlings
1983,Romantic Comedy,Phoebe Craddock
1985,One Magic Christmas,Ginny Grainger
1987,Dead of Winter,Julie Rose / Katie McGovern / Evelyn
1987,The Whales of August,Young Sarah
1987,End of the Line,Rose Pickett
1989,Miss Firecracker,Elaine Rutledge
1989,Parenthood,Karen Buckman
1990,Back to the Future Part III,Clara Clayton Brown
1990,The Long Walk Home,Narrator ( voice )
1991,The Butcher 's Wife,Stella Keefover
1993,What 's Eating Gilbert Grape,Betty Carver
1993,Philadelphia,Belinda Conine
1994,Clifford,Sarah Davis
1994,Pontiac Moon,Katherine Bellamy
