Colony Name,Certification Date,University,City,State,Region
University at Albany Colony of Theta Tau,04/04/2015,"University at Albany , SUNY",Albany,New York,Northeast
Santa Clara University Colony of Theta Tau,02/04/2017,Santa Clara University,Santa Clara,California,Northwest
University of New Haven Colony of Theta Tau,11/19/2017,University of New Haven,West Haven,Connecticut,Northeast
"California State University , Fullerton Colony of Theta Tau",04/28/2018,"California State University , Fullerton",Fullerton,California,Southwest
Florida Institute of Technology Colony of Theta Tau,08/25/2018,Florida Institute of Technology,Melbourne,Florida,Gulf
University of Washington Colony of Theta Tau,09/30/2018,University of Washington,Seattle,Washington,Northwest
James Madison Colony of Theta Tau,01/12/2019,James Madison University,Harrisonburg,Virginia,Atlantic
Ohio Northern University Colony of Theta Tau,04/27/2019,Ohio Northern University,Ada,Ohio,Great Lakes
San Jose State University Colony of Theta Tau,05/12/2019,San Jose State University,San Jose,California,Northwest
Indiana University - Purdue University Indianapolis Colony of Theta Tau,08/31/2019,Indiana University - Purdue University Indianapolis,Indianapolis,Indiana,Midwest
The College of New Jersey Colony of Theta Tau,09/21/2019,The College of New Jersey,Ewing,New Jersey,Mid-Atlantic
