Team,Kit manufacturer,Shirt sponsor
Phitsanulok,Winner,"Isuzu , Hock An Tueng Group And Chang"
Chiangmai,-,"Muang Thai , Chiangmai Ram Hospital , Leo Beer And Singha"
Lamphun Warior,Triple Sport,"Yamaha , Chang And Betagro"
Phichit,FBT,Red Bull And Leo Beer
Uttaradit,Ego Sport,Ego Sport
Nakhon Sawan,FBT,Leo Beer
Kamphaeng Phet,Kela,"Bangkok Airways , AIA And Chang"
Uthai Thani,FBT,-
Tak,Mawin,Fairway And Mawin
Lampang,Kela,"Toyota , Leo And S.Sommee"
Phrae,Kool,Leo Beer And Phrae Sila
Sukhothai,Mawin,"3K Battery , Bangkok Airways And Chang"
Phetchabun,Ego Sports,Leo Beer
Chiangrai,FBT,-
Phayao,Kela,GS Battery And Chang
Nan,Deffo,Leo Beer
