Date,Name,Moving from,Moving to,Fee
"June 2 , 2012",Jimmy Kamghain,Paris Saint-Germain,Kortrijk,Undisclosed
"June 2 , 2012",Tail Schoonjans,OH Leuven,Sint-Niklaas,Free
"June 5 , 2012",Wout Bastiaens,Westerlo,OH Leuven,Undisclosed
"June 5 , 2012",Jonas Buyse,Cercle Brugge,Wetteren,Loan
"June 5 , 2012",Donovan Deekman,Lokeren,Sparta,Undisclosed
"June 5 , 2012",Kevin Packet,Cercle Brugge,Wetteren,Loan
"June 6 , 2012",Ivan Lendrić,Hajduk Split,Zulte Waregem,Undisclosed
"June 6 , 2012",Jef Vogels,Gent,Rupel Boom,Undisclosed
"June 8 , 2012",Guy Dufour,Standard Liège,Sint-Truiden,Undisclosed
"June 8 , 2012",Charly Musonda Junior,Anderlecht,Chelsea,Undisclosed
"June 8 , 2012",Lamisha Musonda,Anderlecht,Chelsea,Undisclosed
"June 8 , 2012",Tika Musonda,Anderlecht,Chelsea,Undisclosed
"June 8 , 2012",Romain Reynaud,Châteauroux,Kortrijk,Undisclosed
"June 9 , 2012",Jesper Jørgensen,Gent,Club Brugge,± 1 500 000 €
"June 9 , 2012",Blanstel Koussalouka,AS Monaco,Kortrijk,Undisclosed
"June 9 , 2012",Stefan Mitrović,Metalac Gornji Milanovac,Kortrijk,Undisclosed
"June 10 , 2012",Nick Van Belle,Club Brugge,Westerlo,Undisclosed
"June 10 , 2012",Jonathan Wilmet,Mechelen,Westerlo,Undisclosed
"June 11 , 2012",Dudu Biton,Charleroi,Standard Liège,Undisclosed
"June 11 , 2012",Ludovic Buysens,Sint-Truiden,OH Leuven,Undisclosed
