Year,Title,Role,Notes
1990,Lost in the Barrens,Hunting Party Member,Television film
1993,Spirit Rider,Paul LeBlanc,Television film
1993-1995,North of 60,Nevada,4 episodes
1995,"Walker , Texas Ranger",Tommy Bright Hawk,Episode : On Sacred Ground
1995,CBS Schoolbreak Special,Ben,Episode : My Indian Summer
1996,Lonesome Dove : The Outlaw Years : Medicine,Red Crow,Lakota
1996,Touched by an Angel,Dillon New Eagle,Episode : Written in Dust
1996,The Rez,Charlie,Ojibwe
1997,Dead Man 's Gun : The Medicine Man,Tom,Nez Perce
2002,Bliss,Angel,Episode : Valentine 's Day in Jail
2002,The Dead Zone,Shaman,Episode : Shaman
2003,Coyote Waits,Officer Jim Chee,Navajo /Television film
2003,Everwood,Mr. Grey Cloud,Episode : Unhappy Holidays
2003,Third Watch,Christian,2 episodes
2004,A Thief of Time,Officer Jim Chee,Navajo
2004,JAG,Marcus Tillco,Episode : Whole New Ball Game
2005,Johnny Tootall,Johnny Tootall,Nuu-chah-nulth
2007,Moose TV,George Keeshig,Cree
2007-08,Law & Order : Special Victims Unit,Det . Chester Lake,Main role ( Season 8-9 )
2008,Comanche Moon,Blue Duck,Comanche
