Frequency,Name,Format,Broadcast area
87.6,Matakana School Radio,Student radio,Matakana
87.6,Radio Luke,Christian radio,Manurewa
87.6,Splash FM,Pop music,Waiheke Island
87.6,Waheguru Radio,Sikhism religion,Manukau
87.6,West Coast Radio WCR 87.6FM,Community radio Top 40 News Sport and Weather,Auckland
87.6,X FM,,Auckland CBD
87.7,African Voice FM,African Radio,"Mount Albert , Massey West and North Shore"
87.7,Hindi Live News,Hindi radio,Auckland CBD
87.7,NZ Mormon,Christian radio,Wiri
87.7,Radio Masti FM,Hindi radio,Papatoetoe
87.7,Tama-Ohi Radio,Tongan Christian radio,"Glen Innes , Pakuranga and Howick"
87.8,Radio Austral,Spanish radio,Mangere
87.8,HopeFM,Christian radio,Pukekohe and Runciman South
87.8,Radio Mirchi FM,Hindi radio,South Auckland
87.8,Seki A Samoa Radio,Samoan radio,Otahuhu
87.8,Sade Aala Radio 87.8,Punjabi radio,Manukau and Papatoetoe
87.8,Waves of the Pacific,Pacific Island,"Manurewa , Takanini ,"
87.9,Radio SUR,Indian radio,Mount Roskill
87.9,3ABN - Radio Waitac 87.9FM,Christian radio,"Massey West , Te Atatu and Henderson"
87.9,West Coast Radio WCR 87.6 FM,Community Radio Top 40 News Sport and Weather,West Rodney
