Actor,Role,Appearance,Year
Torri Higginson,Claudia Hoffmann,Reborn,1998
James Purcell,Stanley Ferris,Full Disclosure,1998
Carlo Rota,Mario Cardoza,Full Disclosure,1998
James Kidnie,Walter,Full Disclosure,1998
Cedric Smith,Morgan Kenworth,Bloodlines,1998
Carolyn Dunn,Denise Grady,Bloodlines,1998
Alan Van Sprang,William Kenworth,Bloodlines,1998
Tara Rosling,Martha Anonesuc,Immunity,1998
James Kee,Stefan Collier,Immunity,1998
Lawrence Dane,Charlie,So Shall Ye Reap,1998
Chuck Shamata,Martin Foster,So Shall Ye Reap,1998
Frank Pellegrino,Hewlitt,So Shall Ye Reap,1998
Carl Marotte,Young Charles,So Shall Ye Reap,1998
Philip Akin,Simon Clark,Birthright,1998
John Bourgeois,Harmon Frost,Birthright,1998
John Ralston,Riley Del Deegan,Birthright,1998
Mark Humphrey,Ray Bonita,Crime and Punishment,1998
Andrew Jackson,Darryl Keenan,Crime and Punishment,1998
Michael Rhoades,John Ray Fielding,The Unknown Soldier,1998
Robert Bockstael,Donald Magnus,The Unknown Soldier,1998
