City served,Province,ICAO,IATA,Airport name
Achutupo,Guna Yala,,ACU,Achutupo Airport
Aguadulce,Coclé,,,Aguadulce Airport
Ailigandi,Guna Yala ( San Blas ),,AIL,Ailigandí Airport
Arraiján,Panamá Province,MPPA,BLB,"Panamá Pacífico International Airport , former Howard Air Force Base"
Bocas del Toro,Bocas del Toro Province,MPBO,BOC,Bocas del Toro Isla Colón International Airport
Cartí,Guna Yala,,CTE,Cartí Airport
Chame,Panamá Oeste,MPCM,,Chame Airport
Changuinola,Bocas del Toro Province,MPCH,CHX,Changuinola Capitán Manuel Niño International Airport
Chitré,Herrera Province,MPCE,CTD,Chitré Alonso Valderrama Airport
Colón,Colón Province,MPEJ,ONX,Enrique Adolfo Jiménez Airport
Calzada Larga,Panamá Province,MPCL,,Calzada Larga Airport
Contadora Island,Panamá Province,MPRA,OTD,Contadora Airport
Coiba Island,Veraguas Province,,,Coiba Airport
Corazón de Jesús,Guna Yala,,CZJ,Corazón de Jesús Airport
David,Chiriquí Province,MPDA,DAV,David Enrique Malek International Airport
El Porvenir,Guna Yala,MPVR,PVE,El Porvenir Airport
El Real,Darién Province,MPRE,ELE,El Real Airport
Fuerte Sherman,Colón Province,MPFS,,Fort Sherman - Closed
Garachiné,Darién Province,MPGA,GHE,Garachiné Airport
Jaqué,Darién Province,MPJE,JQE,Jaqué Airport
