Name,Class year ( s ),Notability
Steve Appleton,1983,Chairman and CEO of Micron Technology
Jim Cathey,1992,Vice President of Qualcomm Inc
John Carley,1955,Former President and chief operating officer of Albertsons Inc
Karl Knapp,1981,Rhodes Scholar ; Vice chairman and managing director at United Bank of Switzerland ( UBS )
Ralph Peterson,1965,President of CH2M HILL ; former advisor to President Bill Clinton
William Glynn,1979,"President of Intermountain Industries ( Intermountain Gas Co. , Petroglyph Energy , and InterWest Capital )"
William Agee,1958,Former President and CEO of Bendix Corporation and Morrison Knudsen Corporation
Jan Packwood,1984,"President and CEO of Idaho Power Company and IDACORP , Inc"
Jim Kissler,1984,"Owner and CEO of Norco , Inc"
Jack Kane,1970,managing director of Duff & Phelps Corp. in New York ; former Major General in the U.S. Army
James McClary,1959,Former President of the Morrison Knudsen Corporation
John Elorriaga,1949,Former chairman of the board and CEO of U.S. Bancorp
Butch Otter,1964,Former President of Simplot International
Larry Williams,1964,Founder and President of Idaho Timber Corp
Louann Krueger,1978,Pacific Northwest Regional Director for Wells Fargo Bank
Bill Ilett,1965,President of TransCorp Inc. ; founder of the Idaho Stampede
