Year,Location,Gold,Silver,Bronze
1893,Amsterdam,Jaap Eden,None declared,None declared
1894,Stockholm,None declared,None declared,None declared
1895,Hamar,Jaap Eden,None declared,None declared
1896,St. Petersburg,Jaap Eden ( 3 ),None declared,None declared
1897,Montreal,Jack McCulloch,None declared,None declared
1898,Davos,Peder Østlund,None declared,None declared
1899,Berlin,Peder Østlund ( 2 ),None declared,None declared
1900,Kristiania ( Oslo ),Edvard Engelsaas,None declared,None declared
1901,Stockholm,Franz Frederik Wathén,None declared,None declared
1902,Helsingfors ( Helsinki ),None declared,None declared,None declared
1903,St. Petersburg,None declared,None declared,None declared
1904,Kristiania ( Oslo ),Sigurd Mathisen,None declared,None declared
1905,Groningen,Coen de Koning,None declared,None declared
1906,Helsingfors ( Helsinki ),None declared,None declared,None declared
1907,Trondhjem ( Trondheim ),None declared,None declared,None declared
1908,Davos,Oscar Mathisen,Martin Sæterhaug,Moje Öholm
1909,Kristiania ( Oslo ),Oscar Mathisen,Oluf Steen,Otto Andersson
1910,Helsingfors ( Helsinki ),Nikolay Strunnikov,Oscar Mathisen,Martin Sæterhaug
1911,Trondhjem ( Trondheim ),Nikolay Strunnikov ( 2 ),Martin Sæterhaug,Henning Olsen
1912,Kristiania ( Oslo ),Oscar Mathisen,Gunnar Strömsten,Trygve Lundgren
