Site,Municipality,Ref
Noda Pit Dwelling Sites 野田竪穴住居跡群 Noda tateana jūkyo seki-gun,Noda,[ 31 ]
Dorota temple ruins 泥田廃寺跡 Dorota Haiji ato,Ichinoseki,[ 32 ]
Sekiya Cave Dwelling Site 関谷洞窟住居跡 Sekiya dōkutsu jūkyo ato,Ōfunato,[ 33 ]
Funakubo Cave 舟久保洞窟 Funakubo dōkutsu,Shiwa,[ 34 ]
Senba-Tsutsumi Pit Dwelling Site 仙波堤竪穴住居跡 Senba-Tsutsumi tateana jūkyo ato,Iwate,[ 35 ]
Imamatsu Pit Dwelling Site 今松竪穴住居跡 Imamatsu tateana jūkyo ato,Iwate,[ 36 ]
Ezomori Kofun えぞ森古墳 Ezomori kofun,Yahaba,[ 37 ]
Ukishima Kofun Cluster 浮島古墳群 Ukishima kofun-gun,Iwate,[ 38 ]
Nippei Site 新平遺跡 Nippei iseki,Yahaba,[ 39 ]
Myōgozawa Tile Excavation Site 明後沢古瓦出土地 Myōgozawa ko-kawara shutsudo-chi,Ōshū,[ 40 ]
Futago and Narita Ichirizuka 二子・成田一里塚 Futago・Narita Ichirizuka,Kitakami,[ 41 ]
Tannaisan Jinja Sutra Mound 丹内山神社経塚 Tannaisan Jinja kyōzuka,Hanamaki,[ 42 ]
Kaitori Shell Mound 貝鳥貝塚 Kaitori kaizuka,Ichinoseki,[ 43 ]
Shimokado Okahijirizuka 下門岡ひじり塚 Shimokado Okahijirizuka,Kitakami,[ 44 ]
Shizukuishi Kaidō Ichirizuka 雫石街道 の一里塚 Shizukuishi Kaidō no ichirizuka,"Takizawa , Shizukuishi",[ 45 ]
Ezo Ichirizuka 江曽一里塚 Ezo ichirizuka,Hanamaki,[ 46 ]
Isseki-Ichijō Sutra Mound 一石一字経塚 Isseki-Ichijō kyōzuka,Miyako,[ 47 ]
Matsusakigawa Ichirizuka 末崎川一里塚 Matsusakigawa ichirizuka,Morioka,[ 48 ]
Bishamondōhira Ichirizuka 毘沙門堂平一里塚 Bishamondōhira ichirizuka,Morioka,[ 49 ]
Tsukanosawa Ichirizuka 塚の沢一里塚 Tsukanosawa ichirizuka,Morioka,[ 50 ]
