Year,Title,Role,Channel
2002,Kya Hadsaa Kya Haqeeqat,"Kusmit , Pragati , Piya",Sony TV
2003-2006,Kahiin To Hoga,Mahek Sinha,Star Plus
2004-2005,Kahaani Ghar Ghar Kii,Chhavi Agarwal,Star Plus
2005,Kkavyanjali,Bindiya,Star Plus
2006,Tumhari Disha,Kamna Dushyant Sehgal,Zee TV
2006-2007,Woh Rehne Waali Mehlon Ki,Sanjana,Sahara One
2007-2008,Bhabhi,Rishika Samar Kapoor,Star Plus
2007-2008,Saat Phere - Saloni Ka Safar,Nishi,Zee TV
2010,Kashi - Ab Na Rahe Tera Kagaz Kora,Lakshmi,NDTV Imagine
2012,Sajda Tere Pyaar Mein,,Star Plus
