Sr. No,Project,State,Capacity in MW,Units in MW,Status
1,Singrauli Super Thermal Power Station,Uttar Pradesh,"2,000","5x200 , 2x500",All units functional
2,NTPC Korba,Chhattisgarh,"2,600","3x200 , 4x500",All units functional
3,NTPC Ramagundam,Telangana,"2,600","3x200 , 4x500",All units functional
4,Farakka Super Thermal Power Station,West Bengal,"2,100","3x200 , 3x500",All units functional
5,Vindhyachal Super Thermal Power Station,Madhya Pradesh,"4,760","6x210 , 7x500",All units functional . Largest Thermal Power Station of India
6,Rihand Thermal Power Station,Uttar Pradesh,"3,000",6x500,All units functional
7,Kahalgaon Super Thermal Power Station,Bihar,"2,340","4x210 , 3x500",All units functional
8,NTPC Dadri,Uttar Pradesh,"1,820","4x210 , 2x490",All units functional
9,Talcher Super Thermal Power Station,Odisha,"3,000",6x500,All units functional
10,Feroze Gandhi Unchahar Thermal Power Station,Uttar Pradesh,"1,550","5x210 , 1×500",All units functional
11,Talcher Thermal Power Station,Odisha,460,"2x110 , 4x60",All units functional
12,Simhadri Super Thermal Power Station,Andhra Pradesh,"2,000",4x500,All units functional
13,Tanda Thermal Power Station,Uttar Pradesh,"1,760","4x110 , 2×660","4x110 MW Units functional , 2×660 MW Unit Under Construction"
14,Badarpur Thermal Power Station,Delhi,705,"2x210 , 3x95",All units retired
15,Sipat Thermal Power Station,Chhattisgarh,"2,980","2x500 , 3x660",All units functional
16,Mauda Super Thermal Power Station,Maharashtra,"2,320","2x500 , 2x660",All units functional
17,Barh Super Thermal Power Station,Bihar,"3,300","3×660 , 2x660","2x660 MW Functional , Three more units of 660 MW under construction"
18,Kudgi Super Thermal Power Station,Karnataka,"2,400",3x800,All Units functional
19,NTPC Bongaigaon,Assam,750,3x250,All Units functional
20,LARA Super Thermal Power Station,Chhattisgarh,"4,000","2x800 , 3x800","1x800 MW unit functional , 1x800 MW unit under construction"
