Game,Publisher,Release Date,Platform,MC score,GR score
Grand Theft Auto IV,Rockstar Games,"April 29 , 2008",PlayStation 3,98/100,97.04%
Grand Theft Auto IV,Rockstar Games,"April 29 , 2008",Xbox 360,98/100,96.67%
LittleBigPlanet,Sony Computer Entertainment,"October 27 , 2008",PlayStation 3,95/100,94.75%
World of Goo,2D Boy,"October 13 , 2008",Wii,94/100,94.04%
BioShock,2K Games,"October 17 , 2008",PlayStation 3,94/100,93.66%
Metal Gear Solid 4 : Guns of the Patriots,Konami,"June 12 , 2008",PlayStation 3,94/100,93.53%
Gears of War 2,Microsoft Game Studios,"November 7 , 2008",Xbox 360,93/100,93.32%
Fallout 3,Bethesda Softworks,"October 28 , 2008",Xbox 360,93/100,92.85%
Super Smash Bros. Brawl,Nintendo,"January 31 , 2008",Wii,93/100,92.84%
Braid,Number None,"August 6 , 2008",Xbox 360,93/100,92.15%
Flipnote Studio,Nintendo,"December 24 , 2008",Nintendo DS,93/100,91%
World of Warcraft : Wrath of the Lich King,Blizzard Entertainment,"November 13 , 2008",Microsoft Windows,91/100,92.68%
Galactic Civilizations II : Twilight of the Arnor,Stardock,"April 30 , 2008",Microsoft Windows,92/100,92.33%
Persona 4,Atlus,"July 10 , 2008",PlayStation 2,90/100,92.28%
World of Goo,2D Boy,"October 13 , 2008",Microsoft Windows,90/100,92.27%
Rock Band 2,MTV Games,"September 14 , 2008",Xbox 360,92/100,92.25%
Chrono Trigger,Square Enix,"November 20 , 2008",Nintendo DS,92/100,91.98%
Rock Band 2,MTV Games,"September 14 , 2008",Wii,92/100,91.33%
Rock Band 2,MTV Games,"September 14 , 2008",PlayStation 3,91/100,91.5%
God of War : Chains of Olympus,Sony Computer Entertainment,"March 4 , 2008",PlayStation Portable,91/100,91.44%
