US,Album,Artist,Record Label
45,3 of Hearts,3 of Hearts,RCA Nashville
11,Amigo,David Ball,Dualtone
26,"Anthology , Vol . 1 : Cowboy Man",Lyle Lovett,MCA Nashville
49,The Captain,Kasey Chambers,Warner Bros
18,Complete,Lila McCann,Asylum
43,The Complete Limelight Sessions,Shania Twain,Limelight
47,A Country Superstar Christmas 4,Various Artists,Hip-O
32,Dancin ' with Thunder : The Official Music of the PBR,Various Artists,Epic
42,A December to Remember,Aaron Tippin,Lyric Street
50,Del and the Boys,Del McCoury Band,Ceili
16,Driven Soundtrack,Various Artists,Curb
39,Earl Scruggs and Friends,Earl Scruggs,MCA Nashville
43,Followin ' a Feelin ',Sherrié Austin,WE
49,From the Heart,The Oak Ridge Boys,Spring Hill
20,God Bless America,LeAnn Rimes,Curb
22,Hank Williams : Timeless,Various Artists,Lost Highway
35,Have Yourself a Merry Little Christmas,Lee Greenwood,Freefalls
50,Here Come the Derailers,The Derailers,Lucky Dog
47,A Hillbilly Tribute to AC/DC,Hayseed Dixie,Dualtone
35,History of the Future,Ricky Skaggs,Skaggs Family
