No,Name,Net worth ( USD ),Age,Nationality,Source ( s ) of wealth
1,Bill Gates,$ 40.7 billion,47,United States,Microsoft
2,Warren Buffett,$ 30.5 billion,72,United States,Berkshire Hathaway
3,Karl and Theo Albrecht,$ 25.6 billion,83,Germany,Aldi Süd
4,Paul Allen,$ 20.1 billion,50,United States,Microsoft
5,Al-Waleed bin Talal,$ 17.7 billion,46,Saudi Arabia,Kingdom Holding Company
6,Larry Ellison,$ 16.6 billion,58,United States,Oracle Corporation
7,Alice Walton *,$ 16.5 billion,54,United States,Wal-Mart
7,Helen Walton *,$ 16.5 billion,83,United States,Wal-Mart
7,Jim Walton *,$ 16.5 billion,55,United States,Wal-Mart
7,John Walton *,$ 16.5 billion,57,United States,Wal-Mart
7,S. Robson Walton *,$ 16.5 billion,59,United States,Wal-Mart
