Actor,Character,Duration,# of episodes
Rebecca Budig,Greenlee Smythe,"1999-2005 , 2008-09 , 2009-11","1,089"
Daniel Cosgrove,Scott Chandler,"1996-98 , 2010-11",325
Bobbie Eakes,Krystal Carey,2003-11,"1,198"
Trent Garrett,Asher Pike,2010-11,112
Stephanie Gatschet,Madison North,2009-11,300
Sarah Glendening,Marissa Tasker,2010-11,178
Ricky Paull Goldin,Dr. Jake Martin,2008-11,453
Natalie Hall,Colby Chandler,2009-11,283
Lindsay Hartley,Dr. Cara Castillo,2010-11,130
Vincent Irizarry,Dr. David Hayward,"1997-2006 , 2008-11","1,500"
Thorsten Kaye,Zach Slater,2004-11,943
Michael E. Knight,Tad Martin,"1982-86 , 1988-90 , 1992-2011","3,310"
Jill Larson,Opal Cortlandt,1989-2011,"2,335"
Christina Bennett Lind,Bianca Montgomery,2010-11,102
Susan Lucci,Erica Kane,1970-2011,"4,342"
Jamie Luner,Liza Colby,2009-11,214
J.R. Martinez,Brot Monroe,2008-11,333
Cameron Mathison,Ryan Lavery,"1998-2002 , 2003-11","1,271"
Cady McClain,Dixie Cooney Martin,"1988-96 , 1998-2002 , 2005-08 , 2010-11","1,878"
Alicia Minshew,Kendall Hart Slater,2002-11,"1,177"
