Country,Party,Date of establishment,Date of dissolution,Continent
Turkey,Republican People 's Party,1923,1945,Asia/Europe
Cameroon,Cameroon People 's Democratic Movement,1975,1990,Africa
Tunisia,Neo Destour,1963,1964,Africa
Tunisia,Socialist Destourian Party,1964,1981,Africa
Turkmenistan,Democratic Party of Turkmenistan,1992,2008,Asia
Republic of China ( 1912-1949 ),Kuomintang,1925,1949,Asia
Republic of China ( Taiwan ),Kuomintang,1949,1990,Asia
Syrian Republic,Arab Liberation Movement,1953,1954,Asia
Republic of Afghanistan,National Revolutionary Party,"February 14 , 1977","April 28 , 1978",Asia
Algeria,National Liberation Front,1962,1989,Africa
Bangladesh,Bangladesh Krishak Sramik Awami League,1974,1975,Asia
Burma,Burma Socialist Programme Party,1962,1988,Asia
Cape Verde,African Party for the Independence of Guinea and Cape Verde,1975,1980,Africa
Cape Verde,African Party for the Independence of Cape Verde,1980,1990,Africa
Central African Republic,Movement for the Social Evolution of Black Africa,1962,1980,Africa
Djibouti,People 's Rally for Progress,1977,1992,Africa
Equatorial Guinea,United National Workers ' Party,1970,1979,Africa
Egypt,Arab Socialist Union,1962,1976,Africa
Eritrea,Eritrean People 's Liberation Front,1991 ( Provisional government ) 1993 ( Recognized state ),1994,Africa
Ghana,Convention People 's Party,1964,1966,Africa
