District,Senator,Party,Residence,First elected,Term Limited
1,Cliff Hite,Republican,Findlay,2011 ( Appt . ),2022
2,Mark Wagoner,Republican,Toledo,2008 ( Appt . ),2016
3,Kevin Bacon,Republican,Worthington,2010,2018
4,Bill Coley,Republican,Middletown,2011 ( Appt . ),2020
5,Bill Beagle,Republican,Tipp City,2010,2018
6,Peggy Lehner,Republican,Kettering,2011 ( Appt . ),2020
7,Shannon Jones,Republican,Springboro,2009 ( Appt . ),2018
8,Bill Seitz,Republican,Cincinnati,2007 ( Appt . ),2016
9,Eric Kearney,Democratic,Cincinnati,2005 ( Appt . ),2014
10,Chris Widener,Republican,Springfield,2008,2016
11,Edna Brown,Democratic,Toledo,2010,2018
12,Keith Faber,Republican,Celina,2007 ( Appt . ),2016
13,Gayle Manning,Republican,North Ridgeville,2010,2018
14,Tom Niehaus,Republican,New Richmond,2004,2012
15,Charleta Tavares,Democratic,Columbus,2010,2018
16,Jim Hughes,Republican,Columbus,2008,2016
17,David T. Daniels,Republican,Greenfield,2010,2018
18,Tim Grendell,Republican,Chesterland,2004,2012
19,Kris Jordan,Republican,Dublin,2010,2018
20,Jimmy Stewart,Republican,Athens,2008,2016
