Year,Title,Language
2000,Valliettan,Malayalam
2004,Black,Malayalam
2008,Nenu Meeku Telusa ... ?,Telugu
2008,Ennai Theriyuma,Tamil
2009,Kurradu,Telugu
2012,Maalai Pozhudhin Mayakathilaey,Tamil
2013,Sundaattam,Tamil
2013,Om 3D,Telugu
2013,DK Bose,Telugu
2013,Summa Nachunu Irukku,Tamil
2013,Potugadu,Telugu
2013,Naa Rakumarudu,Telugu
2014,Pandavulu Pandavulu Thummeda,Telugu
2014,Appavin Meesai,Tamil
2014,Ra Ra Krishnayya,Telugu
2014,Current Theega,Telugu
2015,Gaddam Gang,Telugu
2015,Krishnamma Kalipindi Iddarini,Telugu
2015,Dynamite,Telugu
2015,Urumeen,Tamil
