Round,#,Player,Nationality,College/Junior/Club Team ( League )
1,6,Boyd Devereaux,Canada,Kitchener Rangers ( OHL )
1,19,Matthieu Descoteaux,Canada,Shawinigan Cataractes ( QMJHL )
2,32,Chris Hajt,Canada,Guelph Storm ( OHL )
3,59,Tom Poti,United States,Cushing Academy ( USHS )
5,114,Brian Urick,United States,Notre Dame Fighting Irish ( NCAA )
6,141,Bryan Randall,Canada,Medicine Hat Tigers ( WHL )
7,168,David Bernier,Canada,St-Hyacinthe Lasers ( QMJHL )
7,170,Brandon Lafrance,Canada,Ohio State Buckeyes ( NCAA )
8,195,Fernando Pisani,Canada,St. Albert Saints ( AJHL )
9,221,John Hultberg,United States,Dubuque Fighting Saints ( USHL )
