Pick,Player,Position,Nationality,Team,College/From
13,Jamaal Thomas,SF-PF,United States,New Mexico Thunderbirds,Angelo State
14,Tony Bobbitt,SG-SF,United States,Bakersfield Jam,Air Avellino ( Italy )
15,B. J . Elder,SF,United States,Austin Toros,Giessen 46ers ( Germany )
16,Eddie Robinson,SG-SF,United States,Idaho Stampede,Chicago Bulls
17,Nate Williams,PF-C,United States,Tulsa 66ers,Georgia State
18,Aloysius Anagonye,SF/PF,United States Nigeria,Los Angeles D-Fenders,DKV Joventut
19,Badou Gaye,C,Senegal,Arkansas RimRockers,Liege ( Belgium )
20,Quemont Greer,SG-SF,United States,Dakota Wizards,DePaul
21,Jeremy Richardson,SG-SF,United States,Fort Worth Flyers,Delta State
22,Von Wafer,SG,United States,Colorado 14ers,Los Angeles Lakers
23,DeSean Hadley,G,United States,Sioux Falls Skyforce,Eastern Michigan
24,Andre Owens,SG,United States,Anaheim Arsenal,Utah Jazz
