Round,Overall,Player,Position,Nationality,Club team
1,23,Andrej Meszaros,Defence,Slovakia,HC Dukla Trenčín ( Slovakia )
2,58,Kirill Lyamin,Defence,Russia,HC CSKA Moscow ( Russia )
3,77,Shawn Weller,Left Wing,United States,Capital District Selects ( EJHL )
3,87,Peter Regin,Centre,Denmark,Herning IK ( Denmark )
3,89,Jeff Glass,Goalie,Canada,Kootenay Ice ( WHL )
4,122,Alexander Nikulin,Centre,Russia,HC CSKA Moscow ( Russia )
5,141,Jim McKenzie,Right Wing,United States,Sioux Falls Stampede ( USHL )
5,156,Roman Wick,Right Wing,Switzerland,Kloten Flyers ( Switzerland )
7,219,Joe Cooper,Right Wing,Canada,Miami University ( NCAA )
8,251,Matt McIlvane,Centre,United States,Chicago Steel ( USHL )
9,284,John Wikner,Left Wing,Sweden,Frölunda HC ( Sweden )
