Locale,Airport,Year
"Sacramento , CA",Sacramento International Airport,1998
Minneapolis-St. Paul Metro,Minneapolis-St. Paul International Airport,1998
"Cleveland , OH",Cleveland Hopkins International Airport,1998
"San Francisco , CA",San Francisco International Airport,1998
Dallas-Ft. Worth Metro,Dallas/Fort Worth International Airport,2000
"Albuquerque , NM",Albuquerque International Sunport,2001
Baltimore-Washington Metro,Baltimore-Washington International Thurgood Marshall Airport,2003
"Houston , TX",George Bush Intercontinental Airport,2003
"Ft. Lauderdale , FL",Fort Lauderdale-Hollywood International Airport,2005
"Phoenix , AZ",Sky Harbor International Airport,2006
"Las Vegas , NV",McCarran International Airport,2007
"Kansas City , MO",Kansas City International Airport,2007
"Anchorage , AK",Ted Stevens Anchorage International Airport,2007
"Spokane , WA",Spokane International Airport,2008
"Atlanta , GA",Hartsfield-Jackson Atlanta International Airport,2009
"Fresno , CA",Fresno Yosemite International Airport,2009
"Miami , FL",Miami International Airport,2010
"San Jose , CA",San Jose International Airport,2010
"Nashville , TN",Nashville International Airport,2011
"Memphis , TN",Memphis International Airport,2012
