Site,Municipality,Comments,Type,Ref
Kintai-kyō 錦帯橋 Kintai-kyō,Iwakuni,,2,[ 1 ]
Mount Kurusan 狗留孫山 Kurusan-zan,Shimonoseki,,10,[ 2 ]
Sōrin-ji Gardens 宗隣寺庭園 Sōrinji teien,Ube,,1,[ 3 ]
Jōei-ji Gardens 常栄寺 庭園 Jōeiji teien,Yamaguchi,also an Historic Site,1,[ 4 ]
Jōtoku-ji Gardens 常徳寺庭園 Jōtokuji teien,Yamaguchi,,1,[ 5 ]
Susa Bay 須佐湾 Susa-wan,Hagi,also a Natural Monument,"5 , 8",[ 6 ]
Oumijima 青海島 Oumijima,Nagato,also a Natural Monument,"5 , 8",[ 7 ]
Sekichū-kei 石柱渓 Sekichū-kei,Shimonoseki,also a Natural Monument,"5 , 6",[ 8 ]
Chōmon-kyō 長門峡 Chōmon-kyō,Hagi / Yamaguchi,in Chōmonkyō Prefectural Natural Park,5,[ 9 ]
Tawarajima 俵島 Tawarajima,Nagato,also a Natural Monument,"5 , 8",[ 10 ]
Mōri Family Gardens 毛利氏 庭園 Mōri-shi teien,Hōfu,,1,[ 11 ]
Spray from Ryūjin 's Palace 龍宮の潮吹 Ryūgū no shiofuki,Nagato,also a Natural Monument,"5 , 8",[ 12 ]
