Date,Opponents,Venue,Result,Scorers,Attendance,Report 1,Report 2
05-Oct-83,Brentford,A,4-1,"Rush 23 ' , 70 ' Robinson 51 ' Souness 57 '","17,859",Report,Report
25-Oct-83,Brentford,H,4-0,Souness pen 38 ' Hodgson 65 ' Dalglish 69 ' Robinson 87 ',"9,902",Report,Report
08-Nov-83,Fulham,A,1-1,Rush 64 ',"20,142",Report,Report
22-Nov-83,Fulham,H,1-1,Dalglish 50 ',"15,783",Report,Report
29-Nov-83,Fulham,A,1-0,Souness 114 ',"20,905",Report,Report
20-Dec-83,Birmingham City,A,1-1,Souness 26 ',"17,405",Report,Report
22-Dec-83,Birmingham City,H,3-0,"Nicol 39 ' Rush 53 ' , pen 74 '","11,638",Report,Report
17-Jan-84,Sheffield Wednesday,A,2-2,Nicol 20 ' Neal pen 60 ',"49,357",Report,Report
25-Jan-84,Sheffield Wednesday,H,3-0,"Rush 37 ' , 85 ' Robinson 74 '","40,485",Report,Report
07-Feb-84,Walsall,H,2-2,"Whelan 14 ' , 73 '","31,073",Report,Report
14-Feb-84,Walsall,A,2-0,Rush 13 ' Whelan 52 ',"19,591",Report,Report
