Year,Team,Drivers,Car,Finish,Class
1930,Mme Mareuse,Marguerite Mareuse Odette Siko,Bugatti T 40,7,2
1931,Mme Mareuse,Marguerite Mareuse Odette Siko,Bugatti T 40,DSQ,DSQ
1931,Hon . Mrs. Chetwynd,Joan Chetwynd H.H . Stistend,MG C-Type Midget,DNF,DNF
1934,Miss D. Champney,Dorothy Champney Kay Petre,Riley Ulster IMP,13,5
1935,Captain G. E. T. Eyston,Gordon Simpson Joan Richmond,MG P A Midget,24,9
1935,Captain G. E. T. Eyston,Doreen Evans Barbara Skinner,MG P A Midget,25,10
1935,Captain G. E. T. Eyston,Margaret Allen Collen Eaton,MG P A Midget,26,11
1935,Riley Motor Company,Elsie Wisdom Kaye Petre,Riley Nine MPH Six Racing,DNF,DNF
1937,G. E. T. Eyston,Dorothy Stanley-Turner Joan Riddell,MG P B Midget,16,4
1938,Mmes Roux et Rouault,Fernande Roux Germaine Rouault,Amilcar Pegase Special G36,DNF,DNF
1939,Mme . A. Itier,Anne-Cecile Rose-Itier Suzanne Largeot,Simca Huit,DNF,DNF
1950,Rouault et Gordine,Germaine Rouault Regine Gordine,Simca-Gordini TMM,DNF,DNF
1951,Luigi Chinetti,Betty Haig Yvonne Simon,Ferrari 166 MM Coupé,15,3
1974,Christine - Ecurie Seiko,Christine Beckers Marie Laurent Yvette Fontaine,Chevron B 23,17,1
1975,Anne-Charlotte Verney,Anne-Charlotte Verney Yvette Fontaine Corinne Tarnaud,Porsche 911 Carrera RS,11,6
1975,Société Esso,Christine Dacremont Michèle Mouton Marianne Hoepfner,Moynet LM75,21,1
1975,Elf Switzerland,Marie-Claude Beaumont Lella Lombardi,Renault Alpine A441,DNF,DNF
1976,Aseptogyl,Christine Dacremont Lella Lombardi,Lancia Stratos,20,2
1977,Inaltera,Christine Beckers Lella Lombardi,Inaltera LM77,11,4
1977,Team Esso Aseptogyl,Christine Dacremont Marianne Hoepfner,Lancia Stratos,DNF,DNF
