Year,Title,Role
1995,Polio Water,Diane
1997,Lawn Dogs,Devon Stockard
1999,Pups,Rocky
1999,Notting Hill,12-Year-Old Actress
1999,The Sixth Sense,Kyra Collins
2000,Paranoid,Theresa
2000,Skipped Parts,Maurey Pierce
2001,Lost and Delirious,Mary 'Mouse ' Bedford
2001,Julie Johnson,Lisa Johnson
2001,Tart,Grace Bailey
2003,Octane,Natasha 'Nat ' Wilson
2006,The Oh in Ohio,Kristen Taylor
2007,Closing the Ring,Young Ethel Ann
2007,St Trinian 's,JJ French
2007,Virgin Territory,Pampinea
2008,Assassination of a High School President,Francesca Fachini
2009,Walled In,Sam Walczak
2009,Homecoming,Shelby Mercer
2010,Do n't Fade Away,Kat
2011,You and I,Lana
